date,activityType,steps,grossCalories,calories,distanceInMeters,activeTimeInSeconds
"08/21/2017, 00:00:00 +0800",Pedometer,10983.0,0.0,0.0,6560.0,0.0
"08/22/2017, 00:00:00 +0800",Pedometer,10597.0,0.0,0.0,6456.0,0.0
"08/23/2017, 00:00:00 +0800",Pedometer,7194.0,0.0,0.0,4186.0,0.0
"08/24/2017, 00:00:00 +0800",Pedometer,3810.0,0.0,0.0,2242.0,0.0
"08/25/2017, 00:00:00 +0800",Pedometer,4921.0,0.0,0.0,2916.0,0.0
"08/26/2017, 00:00:00 +0800",Pedometer,3979.0,0.0,0.0,2423.0,0.0
"08/27/2017, 00:00:00 +0800",Pedometer,682.0,0.0,0.0,441.0,0.0
"08/28/2017, 00:00:00 +0800",Pedometer,13375.0,0.0,0.0,7960.0,0.0
"08/29/2017, 00:00:00 +0800",Pedometer,6405.0,0.0,0.0,3929.0,0.0
"08/30/2017, 00:00:00 +0800",Pedometer,4476.0,0.0,0.0,2702.0,0.0
"08/31/2017, 00:00:00 +0800",Pedometer,5826.0,0.0,0.0,3534.0,0.0
"09/01/2017, 00:00:00 +0800",Pedometer,4002.0,0.0,0.0,2360.0,0.0
"09/02/2017, 00:00:00 +0800",Pedometer,595.0,0.0,0.0,402.0,0.0
"09/03/2017, 00:00:00 +0800",Pedometer,1516.0,0.0,0.0,964.0,0.0
"09/04/2017, 00:00:00 +0800",Pedometer,1076.0,0.0,0.0,678.0,0.0
"09/05/2017, 00:00:00 +0800",Pedometer,10443.0,0.0,0.0,6204.0,0.0
"09/06/2017, 00:00:00 +0800",Pedometer,473.0,0.0,0.0,301.0,0.0
"09/07/2017, 00:00:00 +0800",Pedometer,6694.0,0.0,0.0,4052.0,0.0
"09/08/2017, 00:00:00 +0800",Pedometer,9385.0,0.0,0.0,5635.0,0.0
"09/09/2017, 00:00:00 +0800",Pedometer,17348.0,0.0,0.0,9980.0,0.0
"09/10/2017, 00:00:00 +0800",Pedometer,2059.0,0.0,0.0,1272.0,0.0
"09/11/2017, 00:00:00 +0800",Pedometer,792.0,0.0,0.0,538.0,0.0
"09/12/2017, 00:00:00 +0800",Pedometer,1331.0,0.0,0.0,877.0,0.0
"09/13/2017, 00:00:00 +0800",Pedometer,7277.0,0.0,0.0,4429.0,0.0
"09/14/2017, 00:00:00 +0800",Pedometer,2278.0,0.0,0.0,1413.0,0.0
"09/15/2017, 00:00:00 +0800",Pedometer,1477.0,0.0,0.0,1010.0,0.0
"09/16/2017, 00:00:00 +0800",Pedometer,435.0,0.0,0.0,282.0,0.0
"09/17/2017, 00:00:00 +0800",Pedometer,492.0,0.0,0.0,305.0,0.0
"09/18/2017, 00:00:00 +0800",Pedometer,5900.0,0.0,0.0,3592.0,0.0
"09/19/2017, 00:00:00 +0800",Pedometer,7322.0,0.0,0.0,4627.0,0.0
"09/20/2017, 00:00:00 +0800",Pedometer,7197.0,0.0,0.0,4278.0,0.0
"09/21/2017, 00:00:00 +0800",Pedometer,7795.0,0.0,0.0,4551.0,0.0
"09/22/2017, 00:00:00 +0800",Pedometer,5105.0,0.0,0.0,3076.0,0.0
"09/23/2017, 00:00:00 +0800",Pedometer,6781.0,0.0,0.0,3950.0,0.0
"09/24/2017, 00:00:00 +0800",Pedometer,300.0,0.0,0.0,202.0,0.0
"09/25/2017, 00:00:00 +0800",Pedometer,5278.0,0.0,0.0,3250.0,0.0
"09/26/2017, 00:00:00 +0800",Pedometer,4809.0,0.0,0.0,2970.0,0.0
"09/27/2017, 00:00:00 +0800",Pedometer,4482.0,0.0,0.0,2799.0,0.0
"09/28/2017, 00:00:00 +0800",Pedometer,5272.0,0.0,0.0,3179.0,0.0
"09/29/2017, 00:00:00 +0800",Pedometer,7695.0,0.0,0.0,4470.0,0.0
"09/30/2017, 00:00:00 +0800",Pedometer,1550.0,0.0,0.0,971.0,0.0
"10/01/2017, 00:00:00 +0800",Pedometer,8120.0,0.0,0.0,4821.0,0.0
"10/02/2017, 00:00:00 +0800",Pedometer,4223.0,0.0,0.0,2566.0,0.0
"10/03/2017, 00:00:00 +0800",Pedometer,4402.0,0.0,0.0,2656.0,0.0
"10/04/2017, 00:00:00 +0800",Pedometer,1631.0,0.0,0.0,941.0,0.0
"10/05/2017, 00:00:00 +0800",Pedometer,5973.0,0.0,0.0,3670.0,0.0
"10/06/2017, 00:00:00 +0800",Pedometer,7842.0,0.0,0.0,4712.0,0.0
"10/07/2017, 00:00:00 +0800",Pedometer,1068.0,0.0,0.0,705.0,0.0
